Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Макаренко,Мирон,Андрійович,male,1995-03-06,Системний адміністратор,селище Чортків,"парк Миколаївський 1-й, буд. 1 кв. 55, Сквира, 33025",475-24-17,aleksiukorest@example.org
Єрошенко,Ірена,Федорівна,female,2005-05-27,Аудитор,селище Макіївка,"провулок Собінова, буд. 802 кв. 64, Новгород-Сіверський, 40425",+380 (04) 223-69-03,liliiaumanets@example.net
Байда,Сніжана,Федорівна,female,2001-11-23,Менеджер з маркетингу,селище Червоноград,"узвіз Пересипська 5-та, буд. 6 кв. 030, Білопілля, 68485",029 418 30 05,sdanylchuk@example.net
Теліженко,Ігор,Максимович,male,2001-09-10,Архітектор,селище Алчевськ,"сквер Щукіна, буд. 9, Новояворівськ, 40990",+380 18 023 46 40,ieva31@example.com
Конопленко,Климент,Марківич,male,1976-12-20,Тестувальник,село Алмазна,"вулиця Морський, буд. 161 кв. 243, Ківерці, 75830",+380 44 864-80-04,veresielysei@example.org
Карась,Лариса,Григоріївна,female,1956-04-19,Дизайнер,хутір Горохів,"шосе Травневий 3-й, буд. 1, Прип'ять , 84151",776 97 19,ushyian@example.org
Чалий,Микита,Іванович,male,1986-04-15,Копірайтер,хутір Вишневе ,"сквер Травневий 2-й, буд. 1 кв. 9, Молодогвардійськ, 46641",+380 (72) 136-29-30,xkorpaniuk@example.com
Франко,Артем,Захарович,male,1944-06-16,Архітектор,хутір Гнівань,"провулок Юрженка Олександра, буд. 5 кв. 5, Сніжне, 80589",050 836-34-46,liudmylachumachenko@example.org
Височан,Зиновій,Леонідович,male,1997-04-17,Менеджер з продажу,село Молочанськ,"узвіз Світла, буд. 02 кв. 437, Яворів, 02715",934-43-43,kyrylo75@example.net
Іванченко,Олена,Юріївна,female,1991-10-08,Дизайнер,місто Луганськ,"проспект Східчастий 4-й, буд. 887, Хирів, 23391",054 392 94 01,ksych@example.net
Титаренко,Софія,Юріївна,female,1939-12-27,Аналітик даних,хутір Свалява,"сквер 1-ша Лінія Марії Демченко, буд. 331 кв. 34, Карлівка, 22198",299-02-64,kyrylohrechanyk@example.net
Андріїшин,Дарина,Захарівна,female,1974-02-11,Копірайтер,хутір Торецьк,"вулиця Лінія 32-га, буд. 810 кв. 733, Кодима, 63746",613 27 92,shabliivira@example.net
Девдюк,Олена,Кирилівна,female,1957-02-07,Менеджер з продажу,місто Курахове,"сквер Слави, буд. 5, Миргород, 14104",695 62 22,xzasukha@example.org
Жадан,Орест,Федорович,male,2005-05-23,Копірайтер,селище Вінниця,"шосе Заводська 3-тя, буд. 7 кв. 4, Виноградів, 07948",601-12-87,sheremetviktor@example.org
Мазепа,Анастасія,Станіславівна,female,1947-06-13,Програміст,селище Галич,"вулиця 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 7 кв. 48, Торецьк, 54973",+380 (03) 823-69-41,tymofiihuk@example.com
Дробʼязко,Орина,Денисівна,female,1991-12-21,Офіс-менеджер,хутір Генічеськ,"набережна Сирітський, буд. 67 кв. 4, Кролевець, 64594",094 562-84-92,volodymyracherednyk@example.net
Власенко,Леонід,Євгенович,male,1957-02-14,Фінансовий аналітик,село Городок,"вулиця Трудових резервів, буд. 83, Чорнобиль, 02635",+380 (32) 339-34-59,vladyslavteslenko@example.net
Бевз,Людмила,Тарасівна,female,1993-04-07,HR-менеджер,місто Красноград,"вулиця Усатівська, буд. 878 кв. 51, Новояворівськ, 71187",+380 05 876-78-46,kozachenkoborys@example.org
Радченко,Богуслава,Леонідівна,female,1979-11-25,Інженер з якості,село Алупка,"вулиця Строганова, буд. 67, Ірпінь, 88260",+380 33 900 69 91,olha87@example.net
Черінько,Ігнат,Вікторович,male,1947-12-20,Менеджер з маркетингу,хутір Броди,"вулиця Митракова, буд. 26 кв. 64, Теребовля, 33721",+380 12 675-81-63,jokhrymovych@example.net
Ющенко,Гордій,Григорійович,male,1971-05-05,Менеджер з продажу,хутір Кальміуське,"шосе Аркадіївський, буд. 16 кв. 7, Турка, 70469",061 025 00 20,vkadeniuk@example.net
Ільєнко,Валентина,Павлівна,female,1993-10-08,HR-менеджер,селище Вільнянськ,"сквер Героїв прикордонників, буд. 4 кв. 230, Рудки, 29423",+380 (77) 877-33-93,whavryshkevych@example.net
Онищенко,Юстина,Михайлівна,female,1996-03-12,Асистент керівника,село Алмазна,"набережна Кибальчича, буд. 45 кв. 786, Ржищів, 29245",+380 27 722-57-38,marianavakulenko@example.org
Дашкевич,Ірена,Ярославівна,female,1948-06-13,HR-менеджер,селище Рожище,"сквер Черепанових, буд. 700 кв. 5, Рахів, 80213",+380 27 832-58-90,viravasylechko@example.com
Оробець,Тетяна,Олександрівна,female,1992-11-28,Бухгалтер,місто Сколе,"сквер Перемоги, буд. 407, Лисичанськ, 87276",036 609 99 04,dziubaoksana@example.net
Червоненко,Юхим,Костянтинович,male,1971-03-09,Менеджер з продукту,селище Новоазовськ,"шосе Керченський 1-й, буд. 939, Оріхів, 99059",074 244 67 79,okhrimartymyshyn@example.com
Дробаха,Богодар,Іванович,male,1939-07-02,Офіс-менеджер,село Славутич,"набережна Іспанський, буд. 9 кв. 0, Прилуки, 90791",035-26-00,stefan58@example.org
Цимбал,Устим,Тимофійович,male,1981-02-21,HR-менеджер,місто Теребовля,"шосе Волоколамська, буд. 4, Здолбунів, 83071",+380 (11) 988-16-25,tsiutsiuratetiana@example.com
Балабан,Августин,Петрович,male,1996-05-07,Копірайтер,селище Сулимівка (Слов'янськ),"шосе Кострова, буд. 676, Рівне, 83210",+380 32 761-34-11,velychkokhoma@example.org
Микитюк,Ліза,Юріївна,female,1997-05-26,Системний адміністратор,місто Берегове,"провулок 9-та Суворовська, буд. 44 кв. 7, Брянка, 14493",718-21-84,ievhen60@example.net
Ващенко-Захарченко,Анастасія,Марківна,female,1980-08-14,Інженер з якості,село Бориспіль,"площа Благовидової, буд. 3, Теребовля, 08503",004 658-93-02,mykytadzhus@example.com
Масоха,Михайлина,Назарівна,female,1944-12-03,Менеджер з закупівель,селище Золотоноша,"проспект Літакова, буд. 05 кв. 10, Нова Одеса, 47700",+380 52 534-12-31,chekaliuknadiia@example.net
Бандера,Аліна,Ігорівна,female,1982-10-22,Копірайтер,село Герца,"сквер Скрипковий, буд. 763 кв. 32, Хоростків, 54865",+380 (62) 863-64-81,jtovstukha@example.com
Ільєнко,Миколай,Марківич,male,1953-03-25,Аудитор,хутір Ватутіне,"проспект Азербайджан, буд. 07, Вугледар, 57394",+380 (46) 600-64-68,pylypnestaiko@example.net
Базилевич,Іван,Зеновійович,male,2001-04-06,PR-менеджер,місто Арциз,"площа Степана Разіна, буд. 686, Середина-Буда, 93135",628-45-55,avramchukokseniia@example.com
Дергач,Максим,Олексійович,male,1945-10-27,Асистент керівника,село Вуглегірськ,"парк Рівності 1-й, буд. 7 кв. 84, Бурштин , 08736",663-22-47,isaienkoustym@example.net
Дашкевич,Ірина,Володимирівна,female,1964-12-18,Аналітик даних,селище Кам'янське,"парк Лермонтовський, буд. 5, Бахмут, 58598",+380 22 404-48-23,cchumachenko@example.org
Гуцуляк,Мирослав,Станіславович,male,1962-02-25,Бухгалтер,місто Федорівка,"сквер Лінія 49-та, буд. 238 кв. 12, Куп'янськ, 02656",+380 56 398-39-63,oleh42@example.com
Мамчур,Симон,Леонідович,male,1953-05-01,Системний адміністратор,селище Благовіщенське,"набережна Бородінська, буд. 946, Чугуїв, 92689",+380 35 677-28-11,tsymbaliukveniiamyn@example.com
Гаврюшенко,Роксолана,Борисівна,female,1953-08-12,Аудитор,хутір Біла Церква,"вулиця Дубовий гай, буд. 776, Скадовськ, 87738",+380 (38) 770-81-74,iryna31@example.net
Штокало,Юстим,Романович,male,1947-05-19,Системний адміністратор,селище Шумськ,"площа Лесі Українки, буд. 9, Миронівка, 11362",+380 95 757-75-21,mariiaprokopovych@example.net
Кащенко,Аніта,Романівна,female,2000-03-10,Інженер з якості,місто Лутугине,"парк Магнітогорський 2-й, буд. 64 кв. 23, Могилів-Подільський, 04965",087 525 95 53,bohodar97@example.com
